,OptSeries,Side,Exits,EntryTTX,EntryPrice,Invested,ExitTTX,ExitPrice,ProfitLoss,%Return
150,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,63,64,8,50,-15,-23.4375
151,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,64,65,8,50,-16,-24.615384615384617
152,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,65,66,8,50,-17,-25.757575757575758
153,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,66,67,8,50,-18,-26.865671641791046
154,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,67,68,8,50,-19,-27.941176470588236
155,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,68,69,8,50,-20,-28.985507246376812
156,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,69,70,8,50,-21,-30.0
157,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,70,71,8,50,-22,-30.985915492957748
158,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,71,72,8,50,-23,-31.944444444444443
159,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,72,73,8,50,-24,-32.87671232876713
160,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,73,74,8,50,-25,-33.78378378378378
161,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,74,75,8,50,-26,-34.666666666666664
162,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",7,55,56,7,50,-7,-12.5
163,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",7,56,57,7,50,-8,-14.035087719298245
164,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",7,57,58,7,50,-9,-15.517241379310345
165,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",7,58,59,7,50,-10,-16.949152542372882
166,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",7,59,60,7,50,-11,-18.333333333333332
167,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",7,60,61,7,50,-12,-19.672131147540984
168,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",7,61,62,7,50,-13,-20.967741935483872
169,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",7,62,63,7,50,-14,-22.22222222222222
170,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,55,56,6,50,-7,-12.5
171,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,56,57,6,50,-8,-14.035087719298245
172,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,57,58,6,50,-9,-15.517241379310345
173,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,58,59,6,50,-10,-16.949152542372882
174,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,59,60,6,50,-11,-18.333333333333332
175,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,60,61,6,50,-12,-19.672131147540984
176,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,61,62,6,50,-13,-20.967741935483872
177,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,62,63,6,50,-14,-22.22222222222222
178,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,63,64,6,50,-15,-23.4375
179,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,64,65,6,50,-16,-24.615384615384617
